Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Chino Hills,1,2018,4,107,2018-04-18,0.18207545246550796,-0.19941847113444008,1.4596862674718507,36.156390332841184,0.35,-117.77738835498087,33.9516771794212
Anza-Borrego Desert State Park,1,2019,4,94,2019-04-05,0.10259506299408899,-0.14118390908036332,0.49852171986568,32.228510368328756,65.74,-116.17191395891709,32.960103211832944
Chino Hills,1,2019,4,94,2019-04-05,0.3396529578294736,-0.31544377926728984,1.894340633976927,22.327552952970418,65.74,-117.77738835498087,33.9516771794212
Carlsbad Ranch,1,2019,4,110,2019-04-21,0.18298076524468743,-0.2212452650038775,0.9278548529962858,32.35917140871677,33.13,-117.31926767463733,33.128594071620896
Anza-Borrego Desert State Park,1,2019,4,110,2019-04-21,0.09711043375272398,-0.14471151610587357,0.43362069429762623,36.509356639787114,33.13,-116.17191395891709,32.960103211832944
Chino Hills,1,2019,4,110,2019-04-21,0.34015416488265154,-0.3277982595071587,1.4074766588108012,26.566328406019174,33.13,-117.77738835498087,33.9516771794212
Carlsbad Ranch,1,2020,4,113,2020-04-23,0.16171561954512734,-0.20672415785346898,0.7213397392339591,38.17693415060709,1.2,-117.31926767463733,33.128594071620896
Anza-Borrego Desert State Park,1,2020,4,113,2020-04-23,0.10772077226720356,-0.1444912487969833,0.5356834928008217,43.45792826337781,1.2,-116.17191395891709,32.960103211832944
Chino Hills,1,2020,4,113,2020-04-23,0.25668508464626205,-0.2515512992754327,2.0459843002803404,35.53277323656966,1.2,-117.77738835498087,33.9516771794212
Carlsbad Ranch,1,2021,4,99,2021-04-10,0.17606548418058404,-0.22783597074466339,1.2680906685647777,34.151554960387315,10.32,-117.31926767463733,33.128594071620896
Anza-Borrego Desert State Park,1,2021,4,99,2021-04-10,0.07642775184185273,-0.121739630102575,0.36183884132629934,43.61507464751506,10.32,-116.17191395891709,32.960103211832944
Chino Hills,1,2021,4,99,2021-04-10,0.21830606413493253,-0.22947616179970065,1.2106224095786609,28.566835203263903,10.32,-117.77738835498087,33.9516771794212
Carlsbad Ranch,1,2022,4,102,2022-04-13,0.19163595989009277,-0.2328202898385352,0.8210245131611491,32.43515497424751,0.04,-117.31926767463733,33.128594071620896
Anza-Borrego Desert State Park,1,2022,4,102,2022-04-13,0.07692467773332662,-0.12367793329699796,0.3576802453456082,34.515157349501855,0.04,-116.17191395891709,32.960103211832944
Chino Hills,1,2022,4,102,2022-04-13,0.21756630709410046,-0.2302325100399315,1.4738149305144712,32.21625376384056,0.04,-117.77738835498087,33.9516771794212
Carlsbad Ranch,1,2022,4,118,2022-04-29,0.17685879435559468,-0.21646161712637263,0.82882623400358,34.14207689521071,1.82,-117.31926767463733,33.128594071620896
Anza-Borrego Desert State Park,1,2022,4,118,2022-04-29,0.06746377275502564,-0.11555394430710304,0.3057005334133203,42.06710660404567,1.82,-116.17191395891709,32.960103211832944
Chino Hills,1,2022,4,118,2022-04-29,0.1942099595239315,-0.21862259948432075,1.1284286735200335,35.708138356434425,1.82,-117.77738835498087,33.9516771794212
Anza-Borrego Desert State Park,1,2023,4,105,2023-04-16,0.11890603316478486,-0.15602907409963682,0.5905740939703898,36.53298214581097,51.9,-116.17191395891709,32.960103211832944
Chino Hills,1,2023,4,105,2023-04-16,0.3034691910555624,-0.29317320730022567,1.6919130593547453,26.309916388827368,51.9,-117.77738835498087,33.9516771794212
Carlsbad Ranch,1,2024,4,92,2024-04-02,0.2249291652732628,-0.25467590527474876,1.1669833558808709,28.8310022559596,0.2,-117.31926767463733,33.128594071620896
Anza-Borrego Desert State Park,1,2024,4,92,2024-04-02,0.1072019832322311,-0.14256407760535397,0.5711957294739547,30.578156907783693,0.2,-116.17191395891709,32.960103211832944
Chino Hills,1,2024,4,92,2024-04-02,0.24612889631319618,-0.24131012750266456,2.255101276627248,29.548663922452473,0.2,-117.77738835498087,33.9516771794212
Antelope Valley California Poppy Reserve,1,2015,4,90,2015-04-01,0.17885424260039137,-0.22859807382228797,0.8784432166408666,32.73349745743865,0.23,-118.3837425004573,34.71510947662752
