Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
San Carlos Reservation,1,2015,3,87,2015-03-29,0.12143165074294397,-0.15076217534247208,0.6776922248020453,25.270721929817043,15.1,-110.30604951317055,33.27674050735342
South Mountain Park and Preserve,1,2015,3,87,2015-03-29,0.15802706418251644,-0.1852656878988512,0.9485376586299735,34.45669624205341,15.1,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2015,3,87,2015-03-29,0.12286767768224065,-0.15990751927940908,0.5924827155646388,34.655035546073,15.1,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2016,3,74,2016-03-15,0.08295560195322411,-0.13823511109041162,0.3820906882968497,41.73941471862186,0.05,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2016,3,74,2016-03-15,0.13027732383087406,-0.16584263606258665,0.8062206893756008,32.053174680125736,0.05,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2016,3,74,2016-03-15,0.12986559988998017,-0.1680571394176674,0.6818353390307126,32.999632108033325,0.05,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2016,3,90,2016-03-31,0.0799029908542044,-0.13882107189489587,0.3399680754957197,38.73289842140817,31.78,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2016,3,90,2016-03-31,0.12450316887928928,-0.16549687239059813,0.713478297461455,31.489487856516583,31.78,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2016,3,90,2016-03-31,0.12112088810282919,-0.15719318791535017,0.5980035519008609,26.485591213105803,31.78,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2017,3,60,2017-03-02,0.10323051149487297,-0.1480097332521559,0.5223562957879989,31.91916843556868,0.08,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2017,3,60,2017-03-02,0.13567545297863873,-0.16284409996836818,0.9867062224122718,22.041978787170617,0.08,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2017,3,60,2017-03-02,0.18743163446472824,-0.2033251556262224,1.1600887465678025,21.16269042387241,0.08,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2017,3,76,2017-03-18,0.0842067994243635,-0.13810329627443726,0.36729889083563055,46.73716458722624,0.01,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2017,3,76,2017-03-18,0.14202578509362115,-0.16990204635819617,0.9487447556326677,35.69090825535318,0.01,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2017,3,76,2017-03-18,0.17229681808602712,-0.19791641522102482,0.9241491992711195,36.21842054687406,0.01,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2018,3,63,2018-03-05,0.07370979346760154,-0.12837626623353587,0.3462361518483255,30.673617559899686,1.47,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2018,3,63,2018-03-05,0.0918156594830697,-0.1363795825817754,0.5438866987495005,24.790900354496205,1.47,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2018,3,63,2018-03-05,0.08937307992192299,-0.13287857028636232,0.44122648216297294,23.753751076920636,1.47,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2018,3,79,2018-03-21,0.08000294672232419,-0.13549316595834038,0.3302209823865438,36.62090030826706,40.75,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2018,3,79,2018-03-21,0.09134260489382143,-0.12917864323300157,0.44905435106441666,17.555136682389858,40.75,-110.30604951317055,33.27674050735342
Picacho Peak State Park,1,2019,3,82,2019-03-24,0.15590010337851168,-0.19697473947677607,0.7304791384130785,38.398004676852935,0.03,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2019,3,82,2019-03-24,0.17071658526940378,-0.19638686579131376,1.0531118878323984,29.198156457997445,0.03,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2019,3,82,2019-03-24,0.1917686061146041,-0.21666454836050802,1.034351190151196,31.41892219353865,0.03,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2021,3,71,2021-03-13,0.07857849537834065,-0.1395325687169645,0.37955007454956463,23.392410785676443,69.13,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2021,3,71,2021-03-13,0.11371837109949405,-0.15877811055846522,0.4666360072716363,13.812857753724012,69.13,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2021,3,71,2021-03-13,0.10893976880712418,-0.14209027606805086,0.48736599940679404,14.789373647220776,69.13,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2021,3,87,2021-03-29,0.07228900303866231,-0.12812436394566132,0.3082837472836793,35.09237903113498,7.33,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2021,3,87,2021-03-29,0.1018299717640808,-0.14577688331265728,0.5542020193935093,30.936870162906533,7.33,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2021,3,87,2021-03-29,0.0928405064518847,-0.13898517334539692,0.44748590708801256,34.94961964879327,7.33,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2022,3,74,2022-03-16,0.09393932792326025,-0.14399537449620495,0.4548546447717409,41.45038922974469,0.98,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2022,3,74,2022-03-16,0.09973094340176314,-0.14322510196011579,0.5681948431263084,34.158377256591784,0.98,-110.30604951317055,33.27674050735342
South Mountain Park and Preserve,1,2022,3,74,2022-03-16,0.18506604401540663,-0.21449557843539682,1.0951499409109013,36.18475286655949,0.98,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2022,3,74,2022-03-16,0.13754977399759258,-0.17084294384395485,0.7886341158825527,34.62400236546231,0.98,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2023,3,61,2023-03-03,0.1910738458700398,-0.20975208822439492,1.079177530916019,20.40070866200829,11.33,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2023,3,61,2023-03-03,0.10961279311599666,-0.14157430359598966,0.7368557940557249,17.261136082485066,11.33,-110.30604951317055,33.27674050735342
Suguaro Lake,1,2023,3,61,2023-03-03,0.17149887033795505,-0.18789125348941285,1.1525340277122365,17.584101178792032,11.33,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2024,3,64,2024-03-05,0.10777880248629451,-0.17556942830844735,0.3207227887113142,4.841334686104513,16.73,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2024,3,64,2024-03-05,0.15831344816207443,-0.1798735600957203,1.054598309168612,21.652412843553886,16.73,-110.30604951317055,33.27674050735342
South Mountain Park and Preserve,1,2024,3,64,2024-03-05,0.11642750672108905,-0.14461228769099788,0.8569120225767589,30.423888770967853,16.73,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2024,3,64,2024-03-05,0.16912598706237886,-0.1883206515620602,1.1439946490065767,26.946338385936528,16.73,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2024,3,80,2024-03-21,0.13696050125371603,-0.17578244876531343,0.7349610587544834,38.70066259368724,0.23,-111.41815309346114,32.63191414376897
San Carlos Reservation,1,2024,3,80,2024-03-21,0.16216500544078322,-0.18641333159277362,1.082694270108838,28.78891882656048,0.23,-110.30604951317055,33.27674050735342
South Mountain Park and Preserve,1,2024,3,80,2024-03-21,0.11203046159269188,-0.14562044326021575,0.8098436890151356,35.55848229504995,0.23,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2024,3,80,2024-03-21,0.16963972122719315,-0.18836670259513777,1.110589419312594,29.998899129567125,0.23,-111.54542297799958,33.59825955383104
Picacho Peak State Park,1,2015,3,71,2015-03-13,0.14263362619825876,-0.18024287640338668,0.6955705411314645,39.46508966657318,3.1,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2015,3,87,2015-03-29,0.10992338899079489,-0.16055536174840274,0.4843205233408508,38.86192627857212,27.52,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2016,3,74,2016-03-15,0.08273905399905207,-0.13710723938353553,0.38487786474815067,41.66120962387017,0.04,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2016,3,90,2016-03-31,0.07996672537690468,-0.1378799299710023,0.3499926651998347,38.68698311784339,54.19,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2017,3,60,2017-03-02,0.10114223870978983,-0.14601810516115196,0.531965610892734,31.936805975168838,0.05,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2017,3,76,2017-03-18,0.08290044687025501,-0.13602466707253924,0.3869266066689041,46.65738266292139,0.02,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2018,3,63,2018-03-05,0.07406569756666523,-0.12795845510139742,0.42963853964988186,30.67569701958676,0.12,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2018,3,79,2018-03-21,0.08008724905711394,-0.13472498040936434,0.33439292632085427,36.30115174087528,21.17,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2019,3,82,2019-03-24,0.15463057871189229,-0.19532990302278738,0.7473298914797132,38.388459247673815,0.04,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2021,3,71,2021-03-13,0.07946917594706136,-0.14043545895700407,0.37038745374291737,23.523138155974042,48.46,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2021,3,87,2021-03-29,0.07271122008130214,-0.12799119565361464,0.31310625995055535,35.42240599810505,20.06,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2022,3,74,2022-03-16,0.09412424194563887,-0.14322158973977242,0.46204615475812094,41.383387946384275,0.04,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2023,3,61,2023-03-03,0.1872917037118353,-0.2060867549822632,1.109468702577072,20.430433316639384,2.16,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2024,3,64,2024-03-05,0.140420110859243,-0.18927362696302383,0.4875697202362846,5.028749458312365,34.0,-111.41815309346114,32.63191414376897
Picacho Peak State Park,1,2024,3,80,2024-03-21,0.13689211221257372,-0.17526435356726672,0.7478347897124317,38.64842624690865,3.45,-111.41815309346114,32.63191414376897
Black Canyon City,1,2015,3,62,2015-03-04,0.12394812549479958,-0.14219297403816986,1.1554541604563284,18.32015164350388,4.29,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2015,3,62,2015-03-04,0.1424183527158993,-0.16763785670708897,0.9339848334842313,21.739203682142303,4.29,-111.54542297799958,33.59825955383104
Black Canyon City,1,2015,3,78,2015-03-20,0.1426354004014345,-0.15764412532050887,1.1978157348462781,25.781153564892357,0.48,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2015,3,78,2015-03-20,0.13488847746526372,-0.16624132192105115,0.7577821029129659,29.504425608622984,0.48,-111.54542297799958,33.59825955383104
Black Canyon City,1,2016,3,65,2016-03-06,0.15133704279203386,-0.17239990926148777,1.0179114563021572,28.19455956842098,47.23,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2016,3,65,2016-03-06,0.13054860588194267,-0.15663350195199263,0.8568493932302169,27.351221810830154,47.23,-111.54542297799958,33.59825955383104
Black Canyon City,1,2016,3,81,2016-03-22,0.1301712190114113,-0.16267773009704858,0.8189123196392514,32.458129115487964,1.61,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2016,3,81,2016-03-22,0.12151356302353475,-0.16510464322772186,0.6363217895250062,36.10957281661289,1.61,-111.54542297799958,33.59825955383104
Black Canyon City,1,2017,3,67,2017-03-09,0.18142616061989356,-0.19209272482243,1.4404174400256586,28.689606326837424,1.35,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2017,3,67,2017-03-09,0.2019003418443868,-0.21992243584162066,1.2469900518133266,29.63475015112721,1.35,-111.54542297799958,33.59825955383104
Black Canyon City,1,2017,3,83,2017-03-25,0.19554002829691325,-0.20534163727425486,1.351848080471649,26.643325127182003,28.31,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2017,3,83,2017-03-25,0.15901284146293207,-0.19419797764901953,0.8502811811874644,31.737075119293245,28.31,-111.54542297799958,33.59825955383104
Black Canyon City,1,2018,3,70,2018-03-12,0.09507179714517293,-0.13225400072010274,0.5297625045202045,25.717613386110543,34.74,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2018,3,70,2018-03-12,0.0885834253848826,-0.13397332866624925,0.4783566774636327,31.337597428538345,34.74,-111.54542297799958,33.59825955383104
Black Canyon City,1,2018,3,86,2018-03-28,0.09263703184725543,-0.13409950821614405,0.5334520582177235,34.3889021418795,0.55,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2018,3,86,2018-03-28,0.08053232311709174,-0.13017947494019635,0.40788588101087464,36.14927234627937,0.55,-111.54542297799958,33.59825955383104
Black Canyon City,1,2019,3,73,2019-03-15,0.17986501573404046,-0.195033426399559,1.3158396165043498,20.687203886179375,1.55,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2019,3,73,2019-03-15,0.21125415685026386,-0.22982615562063777,1.298260683497816,21.90235566073292,1.55,-111.54542297799958,33.59825955383104
Black Canyon City,1,2019,3,89,2019-03-31,0.18992761335515204,-0.20653019349818766,1.1867283858469322,28.80872171498091,0.96,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2019,3,89,2019-03-31,0.17706149946379213,-0.2100728867454031,0.8971557524971642,29.43250693000363,0.96,-111.54542297799958,33.59825955383104
Black Canyon City,1,2020,3,60,2020-03-01,0.1644572320790216,-0.17984532493554742,1.23264672227287,22.382933400251023,5.44,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2020,3,60,2020-03-01,0.16806413936258624,-0.18831731019046874,1.187444918616659,24.990539679349432,5.44,-111.54542297799958,33.59825955383104
Black Canyon City,1,2020,3,76,2020-03-17,0.17832328433284253,-0.18630500105265,1.342254055392464,20.465609399108622,23.99,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2020,3,76,2020-03-17,0.1546869243015838,-0.16841100611807425,1.1826876691448924,19.732306607583432,23.99,-111.54542297799958,33.59825955383104
Black Canyon City,1,2021,3,62,2021-03-04,0.11942111946674376,-0.15010965890624833,0.6737284695635118,20.783726033732094,44.92,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2021,3,62,2021-03-04,0.1018561519231514,-0.1427746140739824,0.42214736525014346,23.644766282132654,44.92,-111.54542297799958,33.59825955383104
Black Canyon City,1,2021,3,78,2021-03-20,0.10481136351194104,-0.12928345428088242,0.6600447340026518,24.457807490387896,12.63,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2021,3,78,2021-03-20,0.09625091822383225,-0.14352841642283684,0.49508014427896496,38.74331381330089,12.63,-111.54542297799958,33.59825955383104
Black Canyon City,1,2022,3,65,2022-03-07,0.11110958300763898,-0.14175833616302988,0.7556866801415593,23.57753323690279,39.25,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2022,3,65,2022-03-07,0.14367604100793122,-0.17494914018937333,0.8556155799383157,24.870110531365118,39.25,-111.54542297799958,33.59825955383104
Black Canyon City,1,2022,3,81,2022-03-23,0.10266137960998166,-0.13742788235199846,0.7068358840096041,31.635778139495745,0.35,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2022,3,81,2022-03-23,0.1399092012427589,-0.17625494705602177,0.7842788576070835,32.8146350621312,0.35,-111.54542297799958,33.59825955383104
Black Canyon City,1,2023,3,68,2023-03-10,0.13395249851916013,-0.157283537051928,0.8015632316019907,18.50881679696577,65.97,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2023,3,68,2023-03-10,0.18450639930136892,-0.20352466269109473,1.0754326788770516,24.18312322759779,65.97,-111.54542297799958,33.59825955383104
Black Canyon City,1,2023,3,84,2023-03-26,0.17414399488961838,-0.18903438723723845,1.2129498910292251,22.21207040924725,13.62,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2023,3,84,2023-03-26,0.20094498890051185,-0.21649001265424805,1.2363675159130196,24.642710130906487,13.62,-111.54542297799958,33.59825955383104
Black Canyon City,1,2024,3,71,2024-03-12,0.15905550890731654,-0.176640653422004,0.9756141347290187,21.06306757778995,45.53,-112.12297566700333,34.12891725078391
Suguaro Lake,1,2024,3,71,2024-03-12,0.17130408072618591,-0.19191071972790705,1.1428670181716656,30.213401428669684,45.53,-111.54542297799958,33.59825955383104
Black Canyon City,1,2015,3,62,2015-03-04,0.12346144190023076,-0.14665291019702306,0.9498854107371492,19.287924021955266,0.31,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2015,3,62,2015-03-04,0.0985688664944462,-0.12865170089975003,0.6502407886238302,22.30406985094448,0.31,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2015,3,62,2015-03-04,0.09940294508197627,-0.12542176003191483,0.6651920979278498,24.29169061702143,0.31,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2015,3,62,2015-03-04,0.1387605369903751,-0.16423667426818764,0.9551829346895653,21.261407235879034,0.31,-111.54542297799958,33.59825955383104
Black Canyon City,1,2015,3,78,2015-03-20,0.12661729611570843,-0.1496651601360991,0.9255317881289177,27.190024690868405,3.62,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2015,3,78,2015-03-20,0.0933917596551311,-0.12705520344970647,0.5769580746553664,31.175656739701278,3.62,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2015,3,78,2015-03-20,0.08780214412787529,-0.1175284187652084,0.6692435326238538,32.53340489840779,3.62,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2015,3,78,2015-03-20,0.13153168691489164,-0.1631637683210945,0.7722254363644556,29.323997485366977,3.62,-111.54542297799958,33.59825955383104
Black Canyon City,1,2016,3,65,2016-03-06,0.12280421825780341,-0.1560423962153609,0.06787767855171732,3.1690158565217605,58.21,-112.12297566700333,34.12891725078391
South Mountain Park and Preserve,1,2016,3,65,2016-03-06,0.08038269209460565,-0.10637346200700559,0.49985753181611314,30.50988898944281,58.21,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2016,3,65,2016-03-06,0.13037662662149455,-0.15725445171734653,0.9337871761001655,26.824041421959045,58.21,-111.54542297799958,33.59825955383104
Black Canyon City,1,2016,3,81,2016-03-22,0.11464264892453056,-0.1483120312751082,0.649808847165226,34.20862870961947,0.02,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2016,3,81,2016-03-22,0.08447266529779192,-0.12697568917249188,0.4397369865839246,37.030060175811336,0.02,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2016,3,81,2016-03-22,0.07824084170415174,-0.11371858857271214,0.4966764216944623,37.0293091144487,0.02,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2016,3,81,2016-03-22,0.1188716181256614,-0.1615541134543508,0.5878003791606891,35.491012179244485,0.02,-111.54542297799958,33.59825955383104
Black Canyon City,1,2017,3,67,2017-03-09,0.18507057542311445,-0.19569694912585134,1.3903940954486909,28.29061231199244,0.01,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2017,3,67,2017-03-09,0.11995085783355205,-0.14880764299867297,0.7410914775958314,34.10377433665612,0.01,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2017,3,67,2017-03-09,0.11785801331100973,-0.14044474811604749,0.8945060426939925,33.1724368342077,0.01,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2017,3,67,2017-03-09,0.18912701779873256,-0.20944875877562785,1.1423671282296364,29.344030341236127,0.01,-111.54542297799958,33.59825955383104
Black Canyon City,1,2017,3,83,2017-03-25,0.17869131438291477,-0.19274985940002679,1.1309903850007526,28.282030400009976,4.94,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2017,3,83,2017-03-25,0.09255360939002634,-0.13283046848836155,0.4979999747314731,37.94434770193801,4.94,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2017,3,83,2017-03-25,0.09210196800920767,-0.12350886499460184,0.612633053319894,34.812177109938055,4.94,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2017,3,83,2017-03-25,0.15069523399936754,-0.1860871831915173,0.8157873561666175,31.394866282552403,4.94,-111.54542297799958,33.59825955383104
Black Canyon City,1,2018,3,70,2018-03-12,0.08655992119267358,-0.12254243163835861,0.5488315279733063,26.641379646163927,19.19,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2018,3,70,2018-03-12,0.07303551957876513,-0.11478318621050249,0.40185059021367076,34.362217541039485,19.19,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2018,3,70,2018-03-12,0.06964817013340846,-0.10661128592672081,0.41692007804017334,33.47449738937433,19.19,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2018,3,70,2018-03-12,0.0895570403537654,-0.13420999331512115,0.5138146574726837,30.986326394304687,19.19,-111.54542297799958,33.59825955383104
Black Canyon City,1,2018,3,86,2018-03-28,0.08997555169262154,-0.1300439208203319,0.5308978114420863,34.49400641369538,0.01,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2018,3,86,2018-03-28,0.06764572252778817,-0.113944621374549,0.33554025185515596,37.82822093082521,0.01,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2018,3,86,2018-03-28,0.06484880455456613,-0.10490044838615166,0.37408314046139163,35.895455974131394,0.01,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2018,3,86,2018-03-28,0.08309632080980167,-0.13162278731324867,0.43391290087191076,35.04099815766933,0.01,-111.54542297799958,33.59825955383104
Black Canyon City,1,2019,3,73,2019-03-15,0.1683095471922743,-0.1837947541117771,1.2304323495749947,21.79743265721913,16.59,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2019,3,73,2019-03-15,0.1422022561996953,-0.16869444739638578,1.0367120714985274,25.293330261413058,16.59,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2019,3,73,2019-03-15,0.15164099452894014,-0.16979043280525896,1.0958508712808086,25.114264528717072,16.59,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2019,3,73,2019-03-15,0.19391991999389138,-0.21450757335444365,1.202414559863994,21.635499867717396,16.59,-111.54542297799958,33.59825955383104
Black Canyon City,1,2019,3,89,2019-03-31,0.16123907993463862,-0.18190102353976365,0.9884505681017389,25.88405659001237,0.33,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2019,3,89,2019-03-31,0.10996074518527826,-0.15048288427376014,0.5777294374513663,38.46384697479865,0.33,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2019,3,89,2019-03-31,0.11416557185724507,-0.14682003173097122,0.7363478498203327,36.22787573963852,0.33,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2019,3,89,2019-03-31,0.16476002212420907,-0.19712529979798496,0.8889148321787089,28.266731470260623,0.33,-111.54542297799958,33.59825955383104
Black Canyon City,1,2020,3,60,2020-03-01,0.15777613736064278,-0.17304075648229966,1.2205599446482116,23.950589015643093,8.0,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2020,3,60,2020-03-01,0.12706035655572884,-0.15136521145199155,0.96096661287771,28.46725820377409,8.0,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2020,3,60,2020-03-01,0.11086887605414017,-0.13165152275572897,1.1058305696212845,27.776614745648537,8.0,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2020,3,60,2020-03-01,0.16015438210024108,-0.18204407904372233,1.0841391085919494,24.534877013554702,8.0,-111.54542297799958,33.59825955383104
Black Canyon City,1,2020,3,76,2020-03-17,0.16172510267497145,-0.17604473225463804,1.0470122720867454,21.903539613610093,21.42,-112.12297566700333,34.12891725078391
Estrella Mountain Regional Park,1,2020,3,76,2020-03-17,0.11582337744856185,-0.14012390630125796,0.7801247169158336,26.96946478786861,21.42,-112.36386524920901,33.327835281867486
South Mountain Park and Preserve,1,2020,3,76,2020-03-17,0.11684939407190338,-0.13382000910143504,0.9972611742687285,27.500327775292156,21.42,-112.07404945155727,33.33552038501198
Suguaro Lake,1,2020,3,76,2020-03-17,0.15139988065525253,-0.16913111381620424,1.131146355372482,20.892397356039083,21.42,-111.54542297799958,33.59825955383104
