Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
Non_Bloom_Area,0,2022,9,243,2022-09-01,0.17767684766936803,-0.1899452775972787,1.5713256295572882,35.67298421416506,0.2,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2022,9,259,2022-09-17,0.1839531362528774,-0.20317588110981408,1.1860651828282958,22.780615217751116,1.86,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,9,246,2023-09-04,0.20070442398101962,-0.2163245185514592,1.2454596814997791,19.224981638556805,0.19,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,9,262,2023-09-20,0.1909065793980606,-0.20740757717092947,1.2683687808021546,25.57418414425227,4.64,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2024,9,249,2024-09-06,0.20160498343524988,-0.21759254777995737,1.4259074124071243,33.208294994368906,5.72,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2024,9,265,2024-09-22,0.19542785927255105,-0.21390632045311686,1.2328481217056195,26.343768650248986,0.91,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2015,10,278,2015-10-06,0.0877746482830508,-0.0953502152002031,1.4328383546791892,26.136113156228735,1.81,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2015,10,294,2015-10-22,0.09234809591352931,-0.09675679340973058,5.160625551851496,19.803457503583363,13.41,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,10,297,2016-10-24,0.08740798059001006,-0.09268772190899008,2.394285688111216,18.015728271265946,19.37,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2017,10,299,2017-10-27,0.07278213253099876,-0.08068651175784829,0.41072783123738205,19.410414081537617,0.05,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,10,302,2018-10-30,0.084319646869866,-0.09077794567392515,0.6441598473675766,13.762876888690704,8.44,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,10,273,2019-10-01,0.08401538165500208,-0.08097270468644735,1.237230492725864,26.678968761432255,55.61,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,10,276,2020-10-03,0.09463246938834274,-0.1024452942142339,1.3004833135692573,24.889560949031633,1.58,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,10,292,2020-10-19,0.1214689152139005,-0.110503688608499,0.480991450168378,19.882529899100586,22.31,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2021,10,294,2021-10-22,0.08301917473891307,-0.09031768278790979,1.7579983215864499,24.762413113294233,27.65,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2022,10,281,2022-10-09,0.09608233379566887,-0.10280893688477827,1.483297742567695,20.54087442980039,0.61,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,10,284,2023-10-12,0.08603903749631717,-0.09305507768909771,1.1076168836043911,25.461611685318548,2.46,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,10,300,2023-10-28,0.07463209530173452,-0.08332374486073243,1.116077056782776,27.54252857458182,0.09,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2024,10,287,2024-10-14,0.08901530331161281,-0.09590256521440454,2.827761519481391,22.728456254770233,72.32,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2015,10,301,2015-10-29,0.06769359750238,-0.07781000987194882,-0.06935142351908677,18.98018279240257,67.75,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,10,288,2016-10-15,0.07986774498877955,-0.08947376543056196,1.211089293610914,21.60359777709332,0.43,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,10,304,2016-10-31,0.07188176965069958,-0.0816338299284653,2.949247639686225,13.974250706449789,7.71,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2017,10,274,2017-10-02,0.08572184417642198,-0.09620254665657284,1.3236311269225638,25.869860156870775,0.06,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2017,10,290,2017-10-18,0.07802742697535446,-0.08731104487685296,1.7854146806418796,22.52742749038585,0.07,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,10,277,2018-10-05,0.0776492300398308,-0.08224254929877925,1.2884424955232525,21.51575834000003,66.44,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,10,296,2019-10-24,0.07297203932914377,-0.08248641826564986,1.490576946373479,20.844297075338375,0.04,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2022,10,288,2022-10-16,0.08580514968682106,-0.09357600475178975,1.2060070265415945,21.8279727021379,60.16,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,10,275,2023-10-03,0.08608736466813734,-0.09445779318584469,2.7676573151494686,29.236640296783044,0.22,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2023,10,291,2023-10-19,0.07966208371509102,-0.0872521824722437,2.424016363843994,21.02180586368123,19.25,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2024,10,278,2024-10-05,0.09326343401579684,-0.10135209792869446,1.1512734078482274,27.727572070334855,3.36,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2024,10,294,2024-10-21,0.08144041101311157,-0.09143546817974561,0.07044225195842391,25.555125833453392,0.11,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2016,10,284,2016-10-11,0.3774335624694371,-0.3590246836335769,3.1235986505221187,17.88114840619647,13.63,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2017,10,286,2017-10-14,0.34542937961436687,-0.3306607313409219,1.8079538516134057,21.82206013866563,39.62,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2017,10,302,2017-10-30,0.250829894974533,-0.25238907123498044,1.7928560852915985,4.192659510807096,0.33,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,10,273,2018-10-01,0.4488484028068374,-0.41448741232192293,2.815355579167856,21.221311210907363,34.23,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2018,10,289,2018-10-17,0.3550385717981984,-0.335011166562765,2.463557868533973,6.980996056227799,38.86,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2019,10,276,2019-10-04,0.39646295424459416,-0.3722870022814899,3.013025536154674,20.600370724204705,5.35,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,10,279,2020-10-06,0.36906608126785906,-0.34850610735816484,3.388566777519094,18.385648411336877,1.57,-114.79692867652831,35.3410720584522
Non_Bloom_Area,0,2020,10,295,2020-10-22,0.2728383963171838,-0.27927845679884383,1.6606315568431445,20.711127774723074,10.66,-114.79692867652831,35.3410720584522
