,Site,bloom,year,month,day_of_year,date,NDVI,NDWI,EVI,LST,cloud_cover,longitude,latitude
7846,San Carlos Reservation,1,2023,9,253,2023-09-11,0.1133862188003208,-0.1561120905970018,0.6275736908105534,48.10879193925791,25.47,-110.30604951317056,33.27674050735342
7847,Suguaro Lake,1,2023,9,253,2023-09-11,0.0970757535936902,-0.1444603217790719,0.4632449662973072,50.50885053910154,25.47,-111.54542297799958,33.59825955383104
7848,Picacho Peak State Park,1,2023,9,269,2023-09-27,0.0806771757876817,-0.1398686663990937,0.3503180168160463,53.18111226185769,0.0,-111.41815309346114,32.63191414376897
7849,San Carlos Reservation,1,2023,9,269,2023-09-27,0.1261128358037974,-0.1642701543105216,0.7300472121155983,43.49500768370759,0.0,-110.30604951317056,33.27674050735342
7850,Suguaro Lake,1,2023,9,269,2023-09-27,0.0989325087241919,-0.1459321389774185,0.5268320386704358,47.45461084868168,0.0,-111.54542297799958,33.59825955383104
7851,Picacho Peak State Park,1,2024,9,256,2024-09-13,0.0866295472770618,-0.1434340550143001,0.3926698852844033,53.879205616720895,0.01,-111.41815309346114,32.63191414376897
7852,San Carlos Reservation,1,2024,9,256,2024-09-13,0.1109752495609739,-0.1564777435764389,0.5912669721737244,46.933164441902576,0.01,-110.30604951317056,33.27674050735342
7853,Suguaro Lake,1,2024,9,256,2024-09-13,0.0961713156414302,-0.1470965318418088,0.458124659716128,49.99573241547967,0.01,-111.54542297799958,33.59825955383104
7854,Picacho Peak State Park,1,2016,9,266,2016-09-23,0.1119041169413062,-0.1377191642757224,0.4382022844401072,25.815208896652933,51.09,-111.41815309346114,32.63191414376897
7855,Picacho Peak State Park,1,2017,9,252,2017-09-10,0.0905753666253522,-0.1449318984004674,0.3542936668582506,42.772617391900326,1.53,-111.41815309346114,32.63191414376897
7856,Picacho Peak State Park,1,2017,9,268,2017-09-26,0.0834200018102061,-0.1424820652258886,0.3278641058919002,39.19394152993585,5.94,-111.41815309346114,32.63191414376897
7857,Picacho Peak State Park,1,2018,9,255,2018-09-13,0.0799101800158153,-0.1394399794496115,0.3405122200591035,55.16970842495263,2.78,-111.41815309346114,32.63191414376897
7858,Picacho Peak State Park,1,2018,9,271,2018-09-29,0.0850740895697037,-0.1410797361540625,0.377065570781212,51.97447720782424,0.03,-111.41815309346114,32.63191414376897
7859,Picacho Peak State Park,1,2019,9,258,2019-09-16,0.0864573661625197,-0.1436141098207251,0.3890869965720049,51.96570059117269,22.38,-111.41815309346114,32.63191414376897
7860,Picacho Peak State Park,1,2020,9,245,2020-09-02,0.0907734008348295,-0.1436232625345766,0.4220419735354535,54.011590141888206,4.96,-111.41815309346114,32.63191414376897
7861,Picacho Peak State Park,1,2020,9,261,2020-09-18,0.0872721576580284,-0.1370363911989525,0.3949250887682857,54.24521088039447,0.01,-111.41815309346114,32.63191414376897
7862,Picacho Peak State Park,1,2021,9,247,2021-09-05,0.1656849367555782,-0.2017149653655155,0.7894821348154966,55.854663341085576,11.41,-111.41815309346114,32.63191414376897
7863,Picacho Peak State Park,1,2021,9,263,2021-09-21,0.128164834448668,-0.1784267852482307,0.5951199504184838,49.93679878234353,0.0,-111.41815309346114,32.63191414376897
7864,Picacho Peak State Park,1,2022,9,266,2022-09-24,0.0863984201439175,-0.1385879824875053,0.4256832034035283,54.97593767155783,0.28,-111.41815309346114,32.63191414376897
7865,Picacho Peak State Park,1,2023,9,253,2023-09-11,0.0845348915592949,-0.1367748198037596,0.411858497522494,38.493614978144166,30.13,-111.41815309346114,32.63191414376897
7866,Picacho Peak State Park,1,2023,9,269,2023-09-27,0.0800875516445595,-0.1384420734400749,0.3566724464518416,53.0849706569401,0.16,-111.41815309346114,32.63191414376897
7867,Picacho Peak State Park,1,2024,9,256,2024-09-13,0.0858777871662399,-0.1419670581470705,0.3960701339951393,53.74658857670881,0.09,-111.41815309346114,32.63191414376897
7868,Black Canyon City,1,2015,9,254,2015-09-12,0.0906619146515343,-0.1305372291264152,0.526598973649605,51.53995920857436,1.97,-112.12297566700332,34.12891725078391
7869,Suguaro Lake,1,2015,9,254,2015-09-12,0.0945098487099112,-0.1417773119069358,0.4630532776722205,52.29617253514835,1.97,-111.54542297799958,33.59825955383104
7870,Black Canyon City,1,2015,9,270,2015-09-28,0.0873202629172886,-0.1254765673167426,0.5092312211481115,43.30111506102584,15.47,-112.12297566700332,34.12891725078391
7871,Suguaro Lake,1,2015,9,270,2015-09-28,0.0892168260145028,-0.1342232104285055,0.4642991007430748,47.872913567252766,15.47,-111.54542297799958,33.59825955383104
7872,Black Canyon City,1,2016,9,257,2016-09-14,0.1054146064371457,-0.1437564172299275,0.6206186326438458,42.415606675394784,3.1,-112.12297566700332,34.12891725078391
7873,Suguaro Lake,1,2016,9,257,2016-09-14,0.0868384637066475,-0.139052882056069,0.4087158600545361,46.671666882157226,3.1,-111.54542297799958,33.59825955383104
7874,Black Canyon City,1,2016,9,273,2016-09-30,0.1012773758513819,-0.1350942952655773,0.6681472487320611,39.97932791693445,21.49,-112.12297566700332,34.12891725078391
7875,Suguaro Lake,1,2016,9,273,2016-09-30,0.0869657677154332,-0.1368799599148967,0.4334998969428276,46.45203127474925,21.49,-111.54542297799958,33.59825955383104
7876,Black Canyon City,1,2017,9,243,2017-09-01,0.1060278208487359,-0.1470978939684301,0.5974341696639115,52.97780665994373,0.73,-112.12297566700332,34.12891725078391
7877,Suguaro Lake,1,2017,9,243,2017-09-01,0.1093016689317216,-0.1549903533482657,0.5334371576875162,53.54829425635821,0.73,-111.54542297799958,33.59825955383104
7878,Black Canyon City,1,2017,9,259,2017-09-17,0.1027521653389891,-0.1455997519243729,0.5861743470758913,44.14277900349487,2.01,-112.12297566700332,34.12891725078391
7879,Suguaro Lake,1,2017,9,259,2017-09-17,0.1039153282941281,-0.1507884320756123,0.5118784862153607,46.06980117636711,2.01,-111.54542297799958,33.59825955383104
7880,Black Canyon City,1,2018,9,246,2018-09-04,0.1155952036543972,-0.1560989755791093,0.6122977556452947,48.57911138449684,12.51,-112.12297566700332,34.12891725078391
7881,Suguaro Lake,1,2018,9,246,2018-09-04,0.1141597943654819,-0.1597798908888626,0.5364760918701547,47.58371011031871,12.51,-111.54542297799958,33.59825955383104
7882,Black Canyon City,1,2018,9,262,2018-09-20,0.1030944854328944,-0.1472297778610732,0.5681584746150409,43.00566101936448,0.61,-112.12297566700332,34.12891725078391
7883,Suguaro Lake,1,2018,9,262,2018-09-20,0.0999150217772954,-0.1486704909341898,0.4861985931704051,38.36852687380879,0.61,-111.54542297799958,33.59825955383104
7884,Black Canyon City,1,2019,9,249,2019-09-07,0.1055634960701689,-0.1482060668879235,0.5183572953695683,52.621282547871246,31.58,-112.12297566700332,34.12891725078391
