Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Antelope Valley California Poppy Reserve,2024,0.1271197100424506,-0.1531449081421902,50.96,-118.38375469959021,34.71508861411871,0,1,4,4,0,0,0,1
Chino Hills,2024,0.1431652063582933,-0.153183178012199,50.96,-117.77741722644762,33.95166982313173,0,1,4,4,0,0,0,1
Channel Islands National Park,2024,0.168673861773898,-0.1438306847882416,52.19,-119.97285014044256,33.998418819119095,0,2,52,21,0,0,0,1
Chino Hills,2024,0.153352938340645,-0.1610774083960204,20.58,-117.77741722644762,33.95166982313173,0,1,4,4,0,0,0,1
Channel Islands National Park,2024,0.1671760296199365,-0.1477549091570211,33.93,-119.97285014044256,33.998418819119095,0,2,52,21,0,0,0,1
Carrizo Plain National Monument,2024,0.1388318716863827,-0.1569858211262475,12.59,-119.84188601188094,35.14694248226192,0,1,11,11,0,0,0,1
Carrizo Plain National Monument,2024,0.1715816305938924,-0.1728610343640129,33.07,-119.84188601188094,35.14694248226192,0,1,27,27,0,0,0,1
Carrizo Plain National Monument,2024,0.2191228244417414,-0.2153627856554996,2.37,-119.84188601188094,35.14694248226192,0,2,43,12,0,0,0,1
Carrizo Plain National Monument,2024,0.2544926287095078,-0.2435935955878658,1.08,-119.84188601188094,35.14694248226192,0,2,59,28,0,0,0,1
Lompoc Flower Fields,2024,0.150604404505214,-0.1599951572084686,2.56,-120.51575049640014,34.657902770671875,0,1,11,11,0,0,0,1
Carrizo Plain National Monument,2024,0.13281679755101,-0.1520232980767809,2.56,-119.84188601188094,35.14694248226192,0,1,11,11,0,0,0,1
Channel Islands National Park,2024,0.0838737353016533,-0.0713085391510279,2.56,-119.97285014044256,33.998418819119095,0,1,11,11,0,0,0,1
Figueroa Mountain,2024,0.2050558235053637,-0.2110095289685075,2.56,-119.75271879837472,34.69766407453087,0,1,11,11,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.1998298425018666,-0.1915343593562591,2.56,-120.4499101041053,34.509933096785765,0,1,11,11,0,0,0,1
Montaña de Oro State Park,2024,0.2146864723257384,-0.1976309134317202,2.56,-120.81383400040781,35.20683027405567,0,1,11,11,0,0,0,1
Sedgwick Reserve,2024,0.1596630215938384,-0.166144320940337,2.56,-120.02672551703671,34.71413309520678,0,1,11,11,0,0,0,1
Lompoc Flower Fields,2024,0.1487240908551785,-0.155234149334688,24.99,-120.51575049640014,34.657902770671875,0,1,27,27,0,0,0,1
Carrizo Plain National Monument,2024,0.1590120120023628,-0.1667537277033841,24.99,-119.84188601188094,35.14694248226192,0,1,27,27,0,0,0,1
Channel Islands National Park,2024,0.0979107384504428,-0.0855473188597745,24.99,-119.97285014044256,33.998418819119095,0,1,27,27,0,0,0,1
Figueroa Mountain,2024,0.2068437912269446,-0.2108451924071871,24.99,-119.75271879837472,34.69766407453087,0,1,27,27,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2311481371974017,-0.2185435745881924,24.99,-120.4499101041053,34.509933096785765,0,1,27,27,0,0,0,1
Sedgwick Reserve,2024,0.1818445670162644,-0.1823406193985814,24.99,-120.02672551703671,34.71413309520678,0,1,27,27,0,0,0,1
Lompoc Flower Fields,2024,0.1492269381121007,-0.1655308650472834,0.57,-120.51575049640014,34.657902770671875,0,2,43,12,0,0,0,1
Carrizo Plain National Monument,2024,0.2032395405484132,-0.2031022444094682,0.57,-119.84188601188094,35.14694248226192,0,2,43,12,0,0,0,1
Channel Islands National Park,2024,0.1033327216602978,-0.0882256388292175,0.57,-119.97285014044256,33.998418819119095,0,2,43,12,0,0,0,1
Figueroa Mountain,2024,0.219187066224493,-0.2228331576838941,0.57,-119.75271879837472,34.69766407453087,0,2,43,12,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2692656370150517,-0.2504803115428704,0.57,-120.4499101041053,34.509933096785765,0,2,43,12,0,0,0,1
Montaña de Oro State Park,2024,0.2523909743208266,-0.2319818552411228,0.57,-120.81383400040781,35.20683027405567,0,2,43,12,0,0,0,1
Sedgwick Reserve,2024,0.2067007241330861,-0.2031007767855753,0.57,-120.02672551703671,34.71413309520678,0,2,43,12,0,0,0,1
Lompoc Flower Fields,2024,0.1614167709250412,-0.175687735361549,1.37,-120.51575049640014,34.657902770671875,0,2,59,28,0,0,0,1
Carrizo Plain National Monument,2024,0.2360334590935754,-0.229827951961936,1.37,-119.84188601188094,35.14694248226192,0,2,59,28,0,0,0,1
Channel Islands National Park,2024,0.104537134787147,-0.0884007423814503,1.37,-119.97285014044256,33.998418819119095,0,2,59,28,0,0,0,1
Figueroa Mountain,2024,0.2256338505270266,-0.2290055864444143,1.37,-119.75271879837472,34.69766407453087,0,2,59,28,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2915060603611121,-0.2690158680820179,1.37,-120.4499101041053,34.509933096785765,0,2,59,28,0,0,0,1
Montaña de Oro State Park,2024,0.2730914230708653,-0.2487062081008534,1.37,-120.81383400040781,35.20683027405567,0,2,59,28,0,0,0,1
Sedgwick Reserve,2024,0.2284524411706303,-0.2204870979266699,1.37,-120.02672551703671,34.71413309520678,0,2,59,28,0,0,0,1
Channel Islands National Park,2024,0.0856223945943296,-0.0721324719448813,0.39,-119.97285014044256,33.998418819119095,0,1,11,11,0,0,0,1
Channel Islands National Park,2024,0.0985174884654029,-0.0842711529842464,23.11,-119.97285014044256,33.998418819119095,0,1,27,27,0,0,0,1
Channel Islands National Park,2024,0.1082813110870485,-0.0915621583697163,11.55,-119.97285014044256,33.998418819119095,0,2,43,12,0,0,0,1
Channel Islands National Park,2024,0.1045447594067984,-0.0864629059429405,29.89,-119.97285014044256,33.998418819119095,0,2,59,28,0,0,0,1
Red Hills Recreational Managment Area,2024,0.2740083694621198,-0.2564569942685799,54.55,-120.47149701124106,37.847251852339554,0,2,50,19,0,0,0,1
Carrizo Plain National Monument,2024,0.1161468647829228,-0.1266116889137555,66.56,-119.84188601188094,35.14694248226192,0,1,2,2,0,0,0,1
Montaña de Oro State Park,2024,0.2693052488534058,-0.257260154120537,66.56,-120.81383400040781,35.20683027405567,0,1,2,2,0,0,0,1
Carrizo Plain National Monument,2024,0.2473696516987999,-0.2296533407673847,42.45,-119.84188601188094,35.14694248226192,0,2,50,19,0,0,0,1
Montaña de Oro State Park,2024,0.2155145517460015,-0.1965417991158682,42.45,-120.81383400040781,35.20683027405567,0,2,50,19,0,0,0,1
Lompoc Flower Fields,2024,0.159289917636115,-0.1688500394005265,17.4,-120.51575049640014,34.657902770671875,0,1,2,2,0,0,0,1
Carrizo Plain National Monument,2024,0.1218393072306546,-0.1328749672105802,17.4,-119.84188601188094,35.14694248226192,0,1,2,2,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.1633466313933117,-0.1648069219890491,17.4,-120.4499101041053,34.509933096785765,0,1,2,2,0,0,0,1
Montaña de Oro State Park,2024,0.1943053065053029,-0.1715697414549097,17.4,-120.81383400040781,35.20683027405567,0,1,2,2,0,0,0,1
Lompoc Flower Fields,2024,0.1637139749678411,-0.1746655425287291,9.61,-120.51575049640014,34.657902770671875,0,2,50,19,0,0,0,1
Carrizo Plain National Monument,2024,0.2854823267919315,-0.2514174742067332,9.61,-119.84188601188094,35.14694248226192,0,2,50,19,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2791505734186072,-0.2297198919781675,9.61,-120.4499101041053,34.509933096785765,0,2,50,19,0,0,0,1
Montaña de Oro State Park,2024,0.2175540796340693,-0.1969017620499227,9.61,-120.81383400040781,35.20683027405567,0,2,50,19,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.1968568882299179,-0.1881474852285405,29.54,-121.55597836570155,39.5934372299187,0,1,25,25,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.2461081262312622,-0.231402686117565,0.33,-121.55597836570155,39.5934372299187,0,2,41,10,0,0,0,1
Yolo sunflowers,2024,0.0310904492261564,-0.0370653777702246,50.01,-121.82534666882003,38.557265407496566,0,1,9,9,0,0,0,1
Bear Valley Wildflower,2024,0.1842957143864831,-0.1809512374933992,50.01,-122.42961255408602,39.122353957117646,0,1,9,9,0,0,0,1
Jepson Prairie Preserve,2024,0.0685449816562979,-0.0677030211907376,50.01,-121.82979211875876,38.26395459392311,0,1,9,9,0,0,0,1
Yolo sunflowers,2024,0.2195168387528113,-0.2105162312358026,27.95,-121.82534666882003,38.557265407496566,0,1,25,25,0,0,0,1
Bear Valley Wildflower,2024,0.1935854281392094,-0.1884664540698997,27.95,-122.42961255408602,39.122353957117646,0,1,25,25,0,0,0,1
Jepson Prairie Preserve,2024,0.2524319753338922,-0.2271397645150182,27.95,-121.82979211875876,38.26395459392311,0,1,25,25,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.2327473662535322,-0.2221284043289381,27.95,-121.55597836570155,39.5934372299187,0,1,25,25,0,0,0,1
Yolo sunflowers,2024,0.1913931765860871,-0.1932189953095532,0.59,-121.82534666882003,38.557265407496566,0,2,41,10,0,0,0,1
Bear Valley Wildflower,2024,0.2090500856870187,-0.2044373194353803,0.59,-122.42961255408602,39.122353957117646,0,2,41,10,0,0,0,1
Jepson Prairie Preserve,2024,0.2939627021004493,-0.2684507820171884,0.59,-121.82979211875876,38.26395459392311,0,2,41,10,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.2462221970796874,-0.2364485342622753,0.59,-121.55597836570155,39.5934372299187,0,2,41,10,0,0,0,1
Yolo sunflowers,2024,0.2136715350369216,-0.2162686423280363,60.68,-121.82534666882003,38.557265407496566,0,2,57,26,0,0,0,1
Jepson Prairie Preserve,2024,0.2771563005255306,-0.2517704393641501,60.68,-121.82979211875876,38.26395459392311,0,2,57,26,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.2704554815214744,-0.2574302199366798,60.68,-121.55597836570155,39.5934372299187,0,2,57,26,0,0,0,1
Jepson Prairie Preserve,2024,0.1142892452085572,-0.0907870566094604,76.07,-121.82979211875876,38.26395459392311,0,1,9,9,0,0,0,1
Jepson Prairie Preserve,2024,0.256051583379812,-0.2302839286701737,4.19,-121.82979211875876,38.26395459392311,0,1,25,25,0,0,0,1
Jepson Prairie Preserve,2024,0.2938808174113025,-0.2683534484524982,0.04,-121.82979211875876,38.26395459392311,0,2,41,10,0,0,0,1
Bear Valley Wildflower,2024,0.1964908514516975,-0.1899708579611639,61.18,-122.42961255408602,39.122353957117646,0,2,32,1,0,0,0,1
San Carlos Reservation,2024,0.112899483809023,-0.1427655459417814,5.5,-110.30621859902435,33.276734080468145,0,1,2,2,0,0,0,1
San Carlos Reservation,2024,0.1159322020155459,-0.1453041739861608,2.01,-110.30621859902435,33.276734080468145,0,1,18,18,0,0,0,1
San Carlos Reservation,2024,0.1398499442265642,-0.1555352584424825,53.02,-110.30621859902435,33.276734080468145,0,2,34,3,0,0,0,1
San Carlos Reservation,2024,0.1426642908052453,-0.1646082537348961,1.32,-110.30621859902435,33.276734080468145,0,2,50,19,0,0,0,1
Picacho Peak State Park,2024,0.0928022300848325,-0.1360258695599434,2.93,-111.41815624542738,32.631914235689194,0,1,9,9,0,0,0,1
San Carlos Reservation,2024,0.1111224288699662,-0.1432332864155649,2.93,-110.30621859902435,33.276734080468145,0,1,9,9,0,0,0,1
Suguaro Lake,2024,0.100459723700753,-0.1322385576610436,2.93,-111.54542234104356,33.598266304516876,0,1,9,9,0,0,0,1
San Carlos Reservation,2024,0.1189128712888485,-0.1421761352317694,69.79,-110.30621859902435,33.276734080468145,0,1,25,25,0,0,0,1
Suguaro Lake,2024,0.1237306060549192,-0.1442634577228192,69.79,-111.54542234104356,33.598266304516876,0,1,25,25,0,0,0,1
Picacho Peak State Park,2024,0.0920135442367345,-0.1346777287908402,1.68,-111.41815624542738,32.631914235689194,0,1,9,9,0,0,0,1
Black Canyon City,2024,0.1031153492253829,-0.1385246750197282,1.34,-112.1229142911712,34.12896611231567,0,1,16,16,0,0,0,1
Suguaro Lake,2024,0.0998153859617338,-0.1339671114689899,1.34,-111.54542234104356,33.598266304516876,0,1,16,16,0,0,0,1
Black Canyon City,2024,0.1194922466595518,-0.1453854314659604,76.87,-112.1229142911712,34.12896611231567,0,2,32,1,0,0,0,1
Suguaro Lake,2024,0.1218967203598272,-0.1360879068319273,76.87,-111.54542234104356,33.598266304516876,0,2,32,1,0,0,0,1
Black Canyon City,2024,0.1342091546410808,-0.1558952933629441,11.22,-112.1229142911712,34.12896611231567,0,2,48,17,0,0,0,1
Suguaro Lake,2024,0.1626272451071267,-0.1780869296319644,11.22,-111.54542234104356,33.598266304516876,0,2,48,17,0,0,0,1
Black Canyon City,2024,0.1073714397190104,-0.14015082620142,0.66,-112.1229142911712,34.12896611231567,0,1,16,16,0,0,0,1
Estrella Mountain Regional Park,2024,0.0742850240728085,-0.1132321946785947,0.66,-112.36386460405505,33.32784079444161,0,1,16,16,0,0,0,1
South Mountain Park and Preserve,2024,0.0716612417253971,-0.100030330365643,0.66,-112.07403564386821,33.335509687319345,0,1,16,16,0,0,0,1
Suguaro Lake,2024,0.1018995319097615,-0.1354437316579939,0.66,-111.54542234104356,33.598266304516876,0,1,16,16,0,0,0,1
Black Canyon City,2024,0.1124809992084894,-0.1311619760585107,57.14,-112.1229142911712,34.12896611231567,0,2,32,1,0,0,0,1
South Mountain Park and Preserve,2024,0.0658976762945987,-0.0704651759714084,57.14,-112.07403564386821,33.335509687319345,0,2,32,1,0,0,0,1
Suguaro Lake,2024,0.1241548274709002,-0.1417928546145475,57.14,-111.54542234104356,33.598266304516876,0,2,32,1,0,0,0,1
Black Canyon City,2024,0.1344954722138769,-0.1557162249262146,0.09,-112.1229142911712,34.12896611231567,0,2,48,17,0,0,0,1
Estrella Mountain Regional Park,2024,0.101188896093682,-0.1288551436374923,0.09,-112.36386460405505,33.32784079444161,0,2,48,17,0,0,0,1
South Mountain Park and Preserve,2024,0.1143692042104741,-0.129577707847723,0.09,-112.07403564386821,33.335509687319345,0,2,48,17,0,0,0,1
Suguaro Lake,2024,0.1561624938330168,-0.1735759716925523,0.09,-111.54542234104356,33.598266304516876,0,2,48,17,0,0,0,1
Gold Butte National Monument,2024,0.0735955962992024,-0.1166173987633048,74.56,-114.19532579229212,36.27557715942212,0,2,39,8,0,0,0,1
Gold Butte National Monument,2024,0.0712550887859182,-0.1064653296152765,58.03,-114.19532579229212,36.27557715942212,0,2,55,24,0,0,0,1
Golden Valley,2024,0.0719597821533468,-0.1246470931000042,53.75,-114.28358990627721,35.02097918802749,0,1,7,7,0,0,0,1
Golden Valley,2024,0.0740040256602021,-0.1090468290893338,68.53,-114.28358990627721,35.02097918802749,0,2,39,8,0,0,0,1
Golden Valley,2024,0.0665617493393922,-0.0984636948993196,71.94,-114.28358990627721,35.02097918802749,0,2,55,24,0,0,0,1
Gold Butte National Monument,2024,0.0666215002758046,-0.1168995834111774,3.92,-114.19532579229212,36.27557715942212,0,1,14,14,0,0,0,1
Golden Valley,2024,0.0756051514084638,-0.1337166191038669,3.92,-114.28358990627721,35.02097918802749,0,1,14,14,0,0,0,1
Gold Butte National Monument,2024,0.0657621251075502,-0.1137702706170063,0.4,-114.19532579229212,36.27557715942212,0,1,30,30,0,0,0,1
Golden Valley,2024,0.072273635188154,-0.1268216884010318,0.4,-114.28358990627721,35.02097918802749,0,1,30,30,0,0,0,1
Gold Butte National Monument,2024,0.0666052587569821,-0.1097577094719035,13.14,-114.19532579229212,36.27557715942212,0,2,46,15,0,0,0,1
Golden Valley,2024,0.0764028334065076,-0.1256776881986358,13.14,-114.28358990627721,35.02097918802749,0,2,46,15,0,0,0,1
Golden Valley,2024,0.0711119002897733,-0.1253679707919562,4.42,-114.28358990627721,35.02097918802749,0,1,14,14,0,0,0,1
Golden Valley,2024,0.0690214409632168,-0.12046324312358,0.17,-114.28358990627721,35.02097918802749,0,1,30,30,0,0,0,1
Golden Valley,2024,0.0738733398917427,-0.1202574176690784,13.21,-114.28358990627721,35.02097918802749,0,2,46,15,0,0,0,1
Anza-Borrego Desert State Park,2024,0.064652914460106,-0.1092213444664266,0.1,-116.17218600715876,32.9601360505044,0,1,14,14,0,0,0,1
Anza-Borrego Desert State Park,2024,0.0668112443168678,-0.1103652051249393,0.06,-116.17218600715876,32.9601360505044,0,1,30,30,0,0,0,1
Anza-Borrego Desert State Park,2024,0.0783900226083088,-0.1187826479074018,17.99,-116.17218600715876,32.9601360505044,0,2,46,15,0,0,0,1
Chino Hills,2024,0.1867279371064895,-0.1911772884278235,68.31,-117.77741722644762,33.95166982313173,0,1,21,21,0,0,0,1
Chino Hills,2024,0.2148882269521018,-0.2070403052958589,1.1,-117.77741722644762,33.95166982313173,0,2,53,22,0,0,0,1
Carlsbad Ranch,2024,0.1464049020179327,-0.1754426532070211,35.63,-117.31926787076675,33.128594291425586,0,1,5,5,0,0,0,1
Anza-Borrego Desert State Park,2024,0.0784953519193929,-0.1152593279397728,35.63,-116.17218600715876,32.9601360505044,0,1,5,5,0,0,0,1
Chino Hills,2024,0.183817273233186,-0.19748489409765,35.63,-117.77741722644762,33.95166982313173,0,1,5,5,0,0,0,1
Anza-Borrego Desert State Park,2024,0.0799504758780302,-0.1168598733044038,77.35,-116.17218600715876,32.9601360505044,0,1,21,21,0,0,0,1
Chino Hills,2024,0.2001829759939244,-0.2103550725024501,77.35,-117.77741722644762,33.95166982313173,0,1,21,21,0,0,0,1
Carlsbad Ranch,2024,0.1837192841701275,-0.2003492585983858,5.22,-117.31926787076675,33.128594291425586,0,2,53,22,0,0,0,1
Anza-Borrego Desert State Park,2024,0.0973224615088086,-0.1298160348975849,5.22,-116.17218600715876,32.9601360505044,0,2,53,22,0,0,0,1
Chino Hills,2024,0.2137915486178038,-0.2085214537333543,5.22,-117.77741722644762,33.95166982313173,0,2,53,22,0,0,0,1
Antelope Valley California Poppy Reserve,2024,0.1421233733054141,-0.1702293947441481,1.87,-118.38375469959021,34.71508861411871,0,1,12,12,0,0,0,1
Channel Islands National Park,2024,0.0185381299641975,0.0071639729004233,1.87,-119.97285014044256,33.998418819119095,0,1,12,12,0,0,0,1
Chino Hills,2024,0.1559376448326021,-0.1655604211460708,1.87,-117.77741722644762,33.95166982313173,0,1,12,12,0,0,0,1
Antelope Valley California Poppy Reserve,2024,0.1701238160824296,-0.1868259936819025,2.58,-118.38375469959021,34.71508861411871,0,1,28,28,0,0,0,1
Channel Islands National Park,2024,0.0521222095210801,-0.027601446968905,2.58,-119.97285014044256,33.998418819119095,0,1,28,28,0,0,0,1
Chino Hills,2024,0.1562114921777483,-0.1595017409910155,2.58,-117.77741722644762,33.95166982313173,0,1,28,28,0,0,0,1
Antelope Valley California Poppy Reserve,2024,0.1839198351276254,-0.1970861373891528,24.55,-118.38375469959021,34.71508861411871,0,2,44,13,0,0,0,1
Channel Islands National Park,2024,0.1147260635218786,-0.0934342033320215,24.55,-119.97285014044256,33.998418819119095,0,2,44,13,0,0,0,1
Chino Hills,2024,0.1960599090560638,-0.1947759516376317,24.55,-117.77741722644762,33.95166982313173,0,2,44,13,0,0,0,1
Antelope Valley California Poppy Reserve,2024,0.2230234729713709,-0.2287004413511287,42.06,-118.38375469959021,34.71508861411871,0,2,60,29,0,0,0,1
Chino Hills,2024,0.227578459928327,-0.2186612351861597,42.06,-117.77741722644762,33.95166982313173,0,2,60,29,0,0,0,1
Channel Islands National Park,2024,0.0215617675450352,-0.0008486987170235488,0.02,-119.97285014044256,33.998418819119095,0,1,12,12,0,0,0,1
Chino Hills,2024,0.1729638140167042,-0.1934859832528029,0.02,-117.77741722644762,33.95166982313173,0,1,12,12,0,0,0,1
Channel Islands National Park,2024,0.054209590106792,-0.0344048871219484,20.51,-119.97285014044256,33.998418819119095,0,1,28,28,0,0,0,1
Chino Hills,2024,0.1430613970214123,-0.1596689610492889,20.51,-117.77741722644762,33.95166982313173,0,1,28,28,0,0,0,1
Channel Islands National Park,2024,0.1148209719087648,-0.0977036619634483,33.14,-119.97285014044256,33.998418819119095,0,2,44,13,0,0,0,1
Chino Hills,2024,0.2187359105233245,-0.2189094552879013,33.14,-117.77741722644762,33.95166982313173,0,2,44,13,0,0,0,1
Carrizo Plain National Monument,2024,0.1287900173879934,-0.1471266109923779,51.11,-119.84188601188094,35.14694248226192,0,1,3,3,0,0,0,1
Carrizo Plain National Monument,2024,0.1873058833178059,-0.1819138154197515,78.46,-119.84188601188094,35.14694248226192,0,2,35,4,0,0,0,1
Carrizo Plain National Monument,2024,0.2427709356871326,-0.2295021101352024,35.7,-119.84188601188094,35.14694248226192,0,2,51,20,0,0,0,1
Lompoc Flower Fields,2024,0.1645721228407131,-0.1734687168024037,20.5,-120.51575049640014,34.657902770671875,0,1,3,3,0,0,0,1
Carrizo Plain National Monument,2024,0.129279923192828,-0.1496951366350126,20.5,-119.84188601188094,35.14694248226192,0,1,3,3,0,0,0,1
Channel Islands National Park,2024,0.0781074608963844,-0.062802006004896,20.5,-119.97285014044256,33.998418819119095,0,1,3,3,0,0,0,1
Figueroa Mountain,2024,0.2067159977062604,-0.2112072976780419,20.5,-119.75271879837472,34.69766407453087,0,1,3,3,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.1935582133990556,-0.1859120929265532,20.5,-120.4499101041053,34.509933096785765,0,1,3,3,0,0,0,1
Montaña de Oro State Park,2024,0.1994408725996302,-0.1804190133048477,20.5,-120.81383400040781,35.20683027405567,0,1,3,3,0,0,0,1
Sedgwick Reserve,2024,0.1531937531305108,-0.159114899558693,20.5,-120.02672551703671,34.71413309520678,0,1,3,3,0,0,0,1
Carrizo Plain National Monument,2024,0.075933875576725,-0.0992173524562992,77.45,-119.84188601188094,35.14694248226192,0,1,19,19,0,0,0,1
Channel Islands National Park,2024,0.1045552576192332,-0.0968291593308016,77.45,-119.97285014044256,33.998418819119095,0,1,19,19,0,0,0,1
Figueroa Mountain,2024,0.2411538463903595,-0.2441936464350696,77.45,-119.75271879837472,34.69766407453087,0,1,19,19,0,0,0,1
Sedgwick Reserve,2024,0.2089683587968182,-0.2107615230242083,77.45,-120.02672551703671,34.71413309520678,0,1,19,19,0,0,0,1
Carrizo Plain National Monument,2024,0.2066690216865035,-0.2027273097475583,48.44,-119.84188601188094,35.14694248226192,0,2,35,4,0,0,0,1
Lompoc Flower Fields,2024,0.2108301515607014,-0.2049267371453774,66.22,-120.51575049640014,34.657902770671875,0,2,51,20,0,0,0,1
Carrizo Plain National Monument,2024,0.2328516900260248,-0.2234075154996504,66.22,-119.84188601188094,35.14694248226192,0,2,51,20,0,0,0,1
Channel Islands National Park,2024,0.1113783513117109,-0.0782205363980407,66.22,-119.97285014044256,33.998418819119095,0,2,51,20,0,0,0,1
Figueroa Mountain,2024,0.2005327262175556,-0.1977892710664934,66.22,-119.75271879837472,34.69766407453087,0,2,51,20,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2975020966551663,-0.275482341539165,66.22,-120.4499101041053,34.509933096785765,0,2,51,20,0,0,0,1
Montaña de Oro State Park,2024,0.1650764500958227,-0.1543558237550133,66.22,-120.81383400040781,35.20683027405567,0,2,51,20,0,0,0,1
Sedgwick Reserve,2024,0.2469603524365167,-0.2317129714463205,66.22,-120.02672551703671,34.71413309520678,0,2,51,20,0,0,0,1
Channel Islands National Park,2024,0.0804665065263634,-0.0652725282057251,9.95,-119.97285014044256,33.998418819119095,0,1,3,3,0,0,0,1
Channel Islands National Park,2024,0.1085460615697324,-0.1068676496806896,78.97,-119.97285014044256,33.998418819119095,0,1,19,19,0,0,0,1
Red Hills Recreational Managment Area,2024,0.171722546191923,-0.1697251583819677,54.2,-120.47149701124106,37.847251852339554,0,1,26,26,0,0,0,1
Red Hills Recreational Managment Area,2024,0.211689595567759,-0.2037733423007008,4.73,-120.47149701124106,37.847251852339554,0,2,42,11,0,0,0,1
Red Hills Recreational Managment Area,2024,0.2387882589324896,-0.2289489656225128,4.39,-120.47149701124106,37.847251852339554,0,2,58,27,0,0,0,1
Carrizo Plain National Monument,2024,0.1449625757818591,-0.1573785023921252,30.81,-119.84188601188094,35.14694248226192,0,1,10,10,0,0,0,1
Montaña de Oro State Park,2024,0.2045885022943715,-0.1930320168136385,30.81,-120.81383400040781,35.20683027405567,0,1,10,10,0,0,0,1
Carrizo Plain National Monument,2024,0.1660634998904679,-0.1689197918911752,46.29,-119.84188601188094,35.14694248226192,0,1,26,26,0,0,0,1
Montaña de Oro State Park,2024,0.2390036441057371,-0.2221183836351863,46.29,-120.81383400040781,35.20683027405567,0,1,26,26,0,0,0,1
Carrizo Plain National Monument,2024,0.1924064796630861,-0.1939689984854904,2.3,-119.84188601188094,35.14694248226192,0,2,42,11,0,0,0,1
Montaña de Oro State Park,2024,0.2413848906143004,-0.2249496585305861,2.3,-120.81383400040781,35.20683027405567,0,2,42,11,0,0,0,1
Carrizo Plain National Monument,2024,0.2130506372464653,-0.2079225300895857,29.85,-119.84188601188094,35.14694248226192,0,2,58,27,0,0,0,1
Montaña de Oro State Park,2024,0.2578717009057615,-0.2389001125480095,29.85,-120.81383400040781,35.20683027405567,0,2,58,27,0,0,0,1
Lompoc Flower Fields,2024,0.1466054708306413,-0.1614851765878081,30.41,-120.51575049640014,34.657902770671875,0,1,10,10,0,0,0,1
Carrizo Plain National Monument,2024,0.1603491127728019,-0.1690489825841432,30.41,-119.84188601188094,35.14694248226192,0,1,10,10,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.1940201172775746,-0.1887974764561807,30.41,-120.4499101041053,34.509933096785765,0,1,10,10,0,0,0,1
Montaña de Oro State Park,2024,0.2046916326832848,-0.1947766628028056,30.41,-120.81383400040781,35.20683027405567,0,1,10,10,0,0,0,1
Lompoc Flower Fields,2024,0.1390924244804487,-0.1500461722619208,26.07,-120.51575049640014,34.657902770671875,0,1,26,26,0,0,0,1
Carrizo Plain National Monument,2024,0.1758126298211604,-0.1785459516438207,26.07,-119.84188601188094,35.14694248226192,0,1,26,26,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2299820003383053,-0.2164748293749409,26.07,-120.4499101041053,34.509933096785765,0,1,26,26,0,0,0,1
Montaña de Oro State Park,2024,0.238903121609614,-0.2232773494192289,26.07,-120.81383400040781,35.20683027405567,0,1,26,26,0,0,0,1
Lompoc Flower Fields,2024,0.143255055318863,-0.1613592519616232,5.6,-120.51575049640014,34.657902770671875,0,2,42,11,0,0,0,1
Carrizo Plain National Monument,2024,0.1964218581381125,-0.1969827477511448,5.6,-119.84188601188094,35.14694248226192,0,2,42,11,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2648833743097339,-0.2480783037340953,5.6,-120.4499101041053,34.509933096785765,0,2,42,11,0,0,0,1
Montaña de Oro State Park,2024,0.2421842151087705,-0.226971567327541,5.6,-120.81383400040781,35.20683027405567,0,2,42,11,0,0,0,1
Lompoc Flower Fields,2024,0.2538287929129936,-0.2418900539171377,7.59,-120.51575049640014,34.657902770671875,0,2,58,27,0,0,0,1
Carrizo Plain National Monument,2024,0.2176262113785967,-0.2095915405202972,7.59,-119.84188601188094,35.14694248226192,0,2,58,27,0,0,0,1
Laura and Jack Dangermond Reserve,2024,0.2811770398736817,-0.2601466227063504,7.59,-120.4499101041053,34.509933096785765,0,2,58,27,0,0,0,1
Montaña de Oro State Park,2024,0.2629030081980972,-0.2437857312671365,7.59,-120.81383400040781,35.20683027405567,0,2,58,27,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.2143329149063499,-0.2087203280303413,18.79,-121.55597836570155,39.5934372299187,0,1,1,1,0,0,0,1
North Table Mountain Ecological Reserve,2024,0.0092960003092767,-0.0050825339563632,65.25,-121.55597836570155,39.5934372299187,0,1,17,17,0,0,0,1
