Site,year,NDVI,NDWI,cloud_cover,longitude,latitude,bloom,month,day_of_year,day_of_month,is_spring,is_summer,is_fall,is_winter
Non_Bloom_6,2023,0.1828546823520398,-0.1994856568031189,0.45,-119.57393390353316,37.73835106740883,0,10,279,6,0,0,1,0
Non_Bloom_6,2023,0.1492982784372826,-0.1601327682735231,49.22,-119.57393390353316,37.73835106740883,0,10,295,22,0,0,1,0
Non_Bloom_6,2023,0.1844576236190854,-0.1932080218992009,15.67,-119.57393390353316,37.73835106740883,0,11,311,7,0,0,1,0
Non_Bloom_6,2023,0.1714366661446065,-0.1840286270371976,5.74,-119.57393390353316,37.73835106740883,0,11,327,23,0,0,1,0
Non_Bloom_6,2023,0.1770289005662796,-0.1872887780794355,13.81,-119.57393390353316,37.73835106740883,0,12,343,9,0,0,0,1
Non_Bloom_6,2023,0.1720183642479018,-0.1857863417042045,22.93,-119.57393390353316,37.73835106740883,0,12,359,25,0,0,0,1
Non_Bloom_8,2024,0.0572027351176843,-0.0602178072604543,53.25,-73.93224598096674,40.693344962008375,0,4,96,5,1,0,0,0
Non_Bloom_8,2024,0.0968559572728058,-0.1046553550664178,7.56,-73.93224598096674,40.693344962008375,0,5,128,7,1,0,0,0
Non_Bloom_8,2024,0.1337767743374851,-0.140011435504438,10.76,-73.93224598096674,40.693344962008375,0,6,160,8,0,1,0,0
Non_Bloom_8,2024,0.1203090329985686,-0.1266878215837233,27.81,-73.93224598096674,40.693344962008375,0,6,176,24,0,1,0,0
Non_Bloom_8,2024,0.1129583977786122,-0.1187222247246002,63.59,-73.93224598096674,40.693344962008375,0,7,192,10,0,1,0,0
Non_Bloom_8,2024,0.1058152221991358,-0.1131694630085039,2.29,-73.93224598096674,40.693344962008375,0,8,240,27,0,1,0,0
Non_Bloom_8,2024,0.0986337686047004,-0.1038603261099565,0.5,-73.93224598096674,40.693344962008375,0,9,256,12,0,0,1,0
Non_Bloom_8,2024,0.0890153033116128,-0.0959025652144045,72.32,-73.93224598096674,40.693344962008375,0,10,288,14,0,0,1,0
Non_Bloom_8,2024,0.0717782116126009,-0.0804595844123742,1.02,-73.93224598096674,40.693344962008375,0,10,304,30,0,0,1,0
Non_Bloom_8,2024,0.0294692873704863,-0.0434167628625824,2.69,-73.93224598096674,40.693344962008375,0,2,39,8,0,0,0,1
Non_Bloom_8,2024,0.0351089839969815,-0.0525949447479263,3.42,-73.93224598096674,40.693344962008375,0,3,71,11,1,0,0,0
Non_Bloom_8,2024,0.0465342050904144,-0.0415694817693267,18.87,-73.93224598096674,40.693344962008375,0,4,119,28,1,0,0,0
Non_Bloom_8,2024,0.1092202030094944,-0.1189410236654996,19.65,-73.93224598096674,40.693344962008375,0,5,151,30,1,0,0,0
Non_Bloom_8,2024,0.1115723199617185,-0.1235699055625909,21.8,-73.93224598096674,40.693344962008375,0,6,167,15,0,1,0,0
Non_Bloom_8,2024,0.111195542685653,-0.1212734668188321,26.75,-73.93224598096674,40.693344962008375,0,7,183,1,0,1,0,0
Non_Bloom_8,2024,0.1120071604027742,-0.1220278809865895,9.6,-73.93224598096674,40.693344962008375,0,7,199,17,0,1,0,0
Non_Bloom_8,2024,0.1139969632975529,-0.1126309743226769,68.12,-73.93224598096674,40.693344962008375,0,8,215,2,0,1,0,0
Non_Bloom_8,2024,0.1939429913396734,-0.1793366885635028,75.3,-73.93224598096674,40.693344962008375,0,8,231,18,0,1,0,0
Non_Bloom_8,2024,0.1004030671590512,-0.1098196159437118,0.05,-73.93224598096674,40.693344962008375,0,9,247,3,0,0,1,0
